config_name,openroad_route_drc_report_count,openroad_route_drc_nonempty_lines,openroad_route_drc_violation_keyword_count,openroad_route_drc_has_report,openroad_route_drc_status,openroad_def_exists,openroad_def_units_per_micron,openroad_def_routed_wirelength_dbu,openroad_def_routed_wirelength_microns,openroad_def_coordinate_pair_count,openroad_def_routed_net_count,openroad_route_guide_exists,openroad_route_guide_nonempty_lines,openroad_route_guide_segment_like_lines
2mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,75750081170,37875040.585,1449145,42428,1,434030,311233
3mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,3,1,1,possible_violations,1,2000,77570382450,38785191.225,1591851,50713,1,515436,368630
atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,3,1,1,possible_violations,1,2000,70055345470,35027672.735,1300352,33065,1,340967,245158
bicg_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,3,1,1,possible_violations,1,2000,70598134330,35299067.165,1210141,28712,1,294067,210655
floyd-warshall_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,65262648290,32631324.145,878152,7988,1,79567,56500
gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,71603787710,35801893.855,1128535,25088,1,248127,175584
gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk2,1,0,0,1,empty_or_clean,1,2000,71447594120,35723797.06,1126600,25072,1,247572,175077
gemver_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,70820972710,35410486.355,1191737,29046,1,288651,204902
gesummv_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,70517960730,35258980.365,1105941,23684,1,235803,167554
jacobi-1d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,69900515630,34950257.815,1165868,25082,1,251150,178655
jacobi-2d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,68480987900,34240493.95,1134805,24038,1,238526,169492
mvt_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,3,1,1,possible_violations,1,2000,72027628410,36013814.205,1215272,28787,1,294335,210535
nussinov_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,67397131290,33698565.645,1003310,15163,1,152830,109159
seidel-2d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,68544094450,34272047.225,1050655,16437,1,174918,127857
symm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,71261012970,35630506.485,1214856,29360,1,299820,214677
syr2k_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,1,0,0,1,empty_or_clean,1,2000,71938293730,35969146.865,1258833,31911,1,325036,232592
syrk_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,3,1,1,possible_violations,1,2000,72777925210,36388962.605,1281431,33127,1,336674,240622
trmm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2,6,2,1,possible_violations,1,2000,71989557960,35994778.98,1235597,30368,1,307099,219058
