config_name,benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,openroad_clock_constraint,config_parse_status,openroad_run_status,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area,openroad_parse_status
2mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,2mm,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.29,4.71,212.14,5.6013,5.2862,0,0,0,0,0.00694,64237.404,ok
3mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,3mm,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.35,4.65,215.23,5.3766,5.3537,0,0,0,0,0.0111,75947.788,ok
atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,atax,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.28,4.72,212.07,5.3736,5.2846,0,0,0,0,0.00536,52484.992,ok
bicg_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,bicg,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.45,4.55,219.95,5.0907,5.4535,0,0,0,0,0.00539,44731.624,ok
floyd-warshall_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,floyd-warshall,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,8.29,1.71,584.45,2.0771,8.289,0,0,0,0,0.00219,11447.842,ok
gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,gemm,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,7.9,2.1,475.43,3.0349,7.8967,0,0,0,0,0.0695,37758.434,ok
gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk2,gemm,SMALL,10,ALL_BRAM,1.0,O0,2.0,ok,ok,0.0,0.0,0.01,1.99,503.6,2.8972,0.0143,0,0,0,0,0.295,37758.434,ok
gemver_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,gemver,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,7.69,2.31,433.5,3.115,7.6932,0,0,0,0,0.00588,45167.332,ok
gesummv_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,gesummv,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,7.93,2.07,483.04,2.8431,7.9298,0,0,0,0,0.0694,36990.758,ok
jacobi-1d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,jacobi-1d,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.65,4.35,229.65,5.2155,5.6455,0,0,0,0,0.00767,36684.858,ok
jacobi-2d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,jacobi-2d,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.38,4.62,216.59,5.523,5.3831,0,0,0,0,0.00442,37187.332,ok
mvt_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,mvt,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.07,4.93,202.65,5.4287,5.0654,0,0,0,0,0.00483,43939.742,ok
nussinov_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,nussinov,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,8.12,1.88,531.33,2.2863,8.1179,0,0,0,0,0.00554,22619.576,ok
seidel-2d_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,seidel-2d,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,7.13,2.87,348.46,3.4653,7.1302,0,0,0,2,0.00559,24654.742,ok
symm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,symm,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.33,4.67,214.19,5.3014,5.3313,0,0,0,0,0.00496,45668.476,ok
syr2k_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,syr2k,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.06,4.94,202.23,5.8108,5.0551,0,0,0,0,0.00581,50055.082,ok
syrk_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,syrk,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.31,4.69,213.27,5.4735,5.3111,0,0,0,1,0.0145,51286.662,ok
trmm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_orclk10,trmm,SMALL,10,ALL_BRAM,1.0,O0,10.0,ok,ok,0.0,0.0,5.19,4.81,207.8,5.4253,5.1877,0,0,0,0,0.00515,46798.976,ok
