column,unique_values,is_constant
experimental_setup,1,True
dsps,1,True
num_while_loops,1,True
dataset_size,2,False
clock_period,2,False
mem_policy,2,False
dsp_coeff,2,False
opt_level,3,False
max_loop_depth,3,False
num_if_statements,3,False
num_div_ops,6,False
num_for_loops,8,False
num_total_loops,8,False
num_sub_ops,8,False
num_var_decls,8,False
num_mul_ops,9,False
num_add_ops,10,False
num_assignments,11,False
num_array_accesses,14,False
num_function_calls,14,False
source_lines,16,False
num_arithmetic_ops,16,False
benchmark,18,False
design_name,18,False
min_slack,20,False
frequency_mhz,21,False
registers,78,False
performance_conflicts,84,False
mux_area,97,False
modules_instantiated,99,False
control_steps,139,False
states,148,False
area_est,193,False
flipflops,200,False
total_area,225,False
log_file,864,False
