feature,correlation_with_control_steps
control_steps,1.0
states,0.988278888631431
yosys_total_cells,0.9344888853519253
yosys_total_pub_wire_bits,0.932604274730854
yosys_total_wires,0.9251602948241043
yosys_total_pub_wires,0.8596723299747971
mux_area,0.8584447598311712
yosys_total_wire_bits,0.8342089353707387
yosys_num_wire_bits,0.8182940475260886
yosys_num_pub_wire_bits,0.8182940475260886
yosys_total_modules,0.8130731363793363
yosys_num_pub_wires,0.8038940662606712
yosys_num_wires,0.8038940662606712
flipflops,0.7768217975510414
registers,0.7009924749392944
total_area,0.6874305576816326
area_est,0.6567498465318194
modules_instantiated,0.5747369408159527
num_div_ops,0.5664193269911828
openroad_synth_chip_area,0.44810952009285926
performance_conflicts,0.4237513731642363
openroad_critical_path_delay,0.286026714200432
source_lines,0.2500777893674972
num_var_decls,0.23488077626321865
openroad_clock_period_min,0.2279691471570693
num_for_loops,0.19807708240767707
num_total_loops,0.19807708240767707
num_function_calls,0.18465594301319174
openroad_clock_constraint,0.13766148296743577
frequency_mhz,0.05965217891420368
dsp_coeff,0.05723300264713787
openroad_max_cap_violation_count,0.029873307097573906
max_loop_depth,-0.0035943350889583105
openroad_critical_path_slack,-0.019971661011240475
openroad_worst_slack,-0.020454773289707233
num_mul_ops,-0.028279549229839218
num_assignments,-0.05409856634403946
num_array_accesses,-0.07322336176336423
num_arithmetic_ops,-0.10680079785292204
openroad_total_power,-0.14249040152636933
num_add_ops,-0.18606068034961148
clock_period,-0.21903649667548522
min_slack,-0.25990189393210167
num_if_statements,-0.2894766008121796
openroad_fmax,-0.3189127294800192
num_sub_ops,-0.3663216959951682
