feature,correlation_with_frequency_mhz
frequency_mhz,1.0
openroad_fmax,0.6093150342626051
openroad_worst_slack,0.42297938209109204
openroad_critical_path_slack,0.42294166057890575
yosys_total_cells,0.21068294531368603
yosys_total_wire_bits,0.19550415179766953
performance_conflicts,0.16440631775795103
num_if_statements,0.14587698751303627
yosys_total_wires,0.13937937118724752
yosys_total_pub_wire_bits,0.10972750594067575
num_array_accesses,0.09990867477955151
num_sub_ops,0.09985425054790471
num_add_ops,0.0857455932184358
yosys_total_pub_wires,0.0826922951317729
openroad_clock_constraint,0.07914978142671958
control_steps,0.05965217891420368
num_assignments,0.05812804492913633
min_slack,0.05611273174928845
num_arithmetic_ops,0.05466915150275174
states,0.04781348815628334
yosys_total_modules,0.046206581893565815
yosys_num_pub_wire_bits,0.03666406387074903
yosys_num_wire_bits,0.03666406387074903
num_mul_ops,0.030934296715298047
dsp_coeff,-0.0029075237949561512
yosys_num_pub_wires,-0.008125625022412989
yosys_num_wires,-0.008125625022412989
num_for_loops,-0.009413331210408781
num_total_loops,-0.009413331210408781
num_function_calls,-0.0299441692763584
source_lines,-0.04190498894519412
registers,-0.06383716537757268
max_loop_depth,-0.06854181806936682
modules_instantiated,-0.0737703317305764
num_var_decls,-0.0912622228190074
flipflops,-0.1058917381498694
openroad_total_power,-0.12613017325510664
mux_area,-0.1405752956418657
num_div_ops,-0.15045502066027264
openroad_max_cap_violation_count,-0.15769520383780725
total_area,-0.26419443002379006
area_est,-0.26735407791788623
openroad_clock_period_min,-0.5040396891142379
openroad_critical_path_delay,-0.5750140001416963
openroad_synth_chip_area,-0.6229884670059291
clock_period,-0.9041854744353459
