feature,correlation_with_openroad_synth_chip_area
yosys_total_pub_wires,1.0000000000000016
yosys_total_pub_wire_bits,1.0000000000000013
yosys_num_wires,1.0000000000000002
yosys_num_pub_wires,1.0000000000000002
yosys_num_pub_wire_bits,1.0000000000000002
yosys_num_wire_bits,1.0000000000000002
openroad_synth_chip_area,1.0
yosys_total_wire_bits,0.9999999999999998
yosys_total_wires,0.9999999999999947
area_est,0.8413677255205331
total_area,0.8398820679499942
num_assignments,0.7605783538641534
num_for_loops,0.7100739931985567
num_total_loops,0.7100739931985567
modules_instantiated,0.7077601235377199
openroad_critical_path_delay,0.7064891345833683
num_var_decls,0.6930386913457209
openroad_clock_period_min,0.6666039150131677
source_lines,0.6368331421488984
num_mul_ops,0.613712163698822
performance_conflicts,0.5372996015013562
num_function_calls,0.5067655160329704
states,0.46385052010424066
control_steps,0.44810952009285926
num_div_ops,0.40465846040693537
registers,0.2927540662753097
flipflops,0.27734453060285313
mux_area,0.20032792197281435
max_loop_depth,0.1894403749528663
openroad_clock_constraint,0.08078905687752858
num_array_accesses,0.06717064287549912
num_arithmetic_ops,0.0421141306965637
openroad_total_power,-0.0950080652802299
openroad_max_cap_violation_count,-0.20951910662145104
min_slack,-0.35330495207009566
openroad_critical_path_slack,-0.3766117050827839
openroad_worst_slack,-0.37672146780548627
num_add_ops,-0.38575878693999993
num_if_statements,-0.4372603757135577
num_sub_ops,-0.4931631413014425
frequency_mhz,-0.6229884670059291
openroad_fmax,-0.6800251624885683
yosys_total_modules,-1.0000000000000002
yosys_total_cells,-1.0000000000000142
