feature,correlation_with_openroad_total_power
openroad_total_power,1.0
yosys_total_cells,0.6702447781548856
yosys_total_modules,0.6702447781548762
openroad_fmax,0.4348324775835725
num_mul_ops,0.26870560094253126
num_var_decls,0.2435323455514397
area_est,0.17313166039959918
total_area,0.16450211569771783
num_for_loops,0.15424180976774374
num_total_loops,0.15424180976774374
num_assignments,0.13372028545172238
modules_instantiated,0.12699212005837707
max_loop_depth,0.09003726927837945
source_lines,0.07923313853841024
num_div_ops,0.003194409223881801
flipflops,-0.06065521117573144
num_function_calls,-0.064550068944822
registers,-0.07145756551965145
num_arithmetic_ops,-0.08089596054135259
openroad_synth_chip_area,-0.0950080652802299
min_slack,-0.09603641086887667
openroad_max_cap_violation_count,-0.1030310675215642
performance_conflicts,-0.11939619173577067
frequency_mhz,-0.12613017325510664
control_steps,-0.14249040152636933
num_if_statements,-0.148365404374462
states,-0.15473961341727244
mux_area,-0.16704211710986588
num_sub_ops,-0.21113514884797752
num_add_ops,-0.2512603842464384
num_array_accesses,-0.2565982782615149
openroad_critical_path_delay,-0.37957486814022906
openroad_clock_period_min,-0.44023905049003065
openroad_critical_path_slack,-0.6394597184386217
openroad_worst_slack,-0.6396310312406217
yosys_total_wires,-0.6702447781548725
yosys_total_wire_bits,-0.6702447781548758
yosys_num_wires,-0.670244778154876
yosys_num_pub_wires,-0.670244778154876
yosys_num_wire_bits,-0.6702447781548762
yosys_num_pub_wire_bits,-0.6702447781548762
yosys_total_pub_wire_bits,-0.6702447781548768
yosys_total_pub_wires,-0.6702447781548772
openroad_clock_constraint,-0.9553398491865824
