column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
min_slack,0.0363999969999984,0.0494726426666805,0.0130726456666821,0.01679102849997525,0.06908161116670365,192,22.22222222222222
area_est,5096.25,6577.5,1481.25,2874.375,8799.375,192,22.22222222222222
total_area,5329.0,7016.0,1687.0,2798.5,9546.5,192,22.22222222222222
num_div_ops,2.0,3.0,1.0,0.5,4.5,192,22.22222222222222
num_if_statements,1.0,1.0,0.0,1.0,1.0,192,22.22222222222222
max_loop_depth,2.0,2.0,0.0,2.0,2.0,192,22.22222222222222
num_total_loops,8.0,10.0,2.0,5.0,13.0,144,16.666666666666664
num_for_loops,8.0,10.0,2.0,5.0,13.0,144,16.666666666666664
performance_conflicts,0.0,15.0,15.0,-22.5,37.5,128,14.814814814814813
num_var_decls,10.0,13.0,3.0,5.5,17.5,96,11.11111111111111
num_assignments,16.0,22.0,6.0,7.0,31.0,96,11.11111111111111
num_arithmetic_ops,15.0,26.0,11.0,-1.5,42.5,48,5.555555555555555
num_mul_ops,5.0,14.0,9.0,-8.5,27.5,48,5.555555555555555
source_lines,64.0,88.0,24.0,28.0,124.0,48,5.555555555555555
num_sub_ops,0.0,5.0,5.0,-7.5,12.5,48,5.555555555555555
modules_instantiated,148.5,296.25,147.75,-73.125,517.875,48,5.555555555555555
states,39.0,97.0,58.0,-48.0,184.0,42,4.861111111111112
mux_area,210.0,409.0,199.0,-88.5,707.5,28,3.2407407407407405
control_steps,37.0,95.25,58.25,-50.375,182.625,28,3.2407407407407405
registers,28.0,57.0,29.0,-15.5,100.5,20,2.314814814814815
flipflops,858.0,1668.0,810.0,-357.0,2883.0,16,1.8518518518518516
clock_period,10.0,15.0,5.0,2.5,22.5,0,0.0
dsp_coeff,1.0,1.75,0.75,-0.125,2.875,0,0.0
frequency_mhz,66.887272676003,100.3653297702541,33.47805709425111,16.670187034626323,150.5824154116308,0,0.0
num_array_accesses,18.0,30.0,12.0,0.0,48.0,0,0.0
num_add_ops,4.0,10.0,6.0,-5.0,19.0,0,0.0
num_function_calls,27.0,48.0,21.0,-4.5,79.5,0,0.0
