evaluation,target,feature_mode,model,mae,rmse,r2,folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,benchmarks
random_split,total_area,full,linear_regression,1.8308180918637123e-12,2.748725888972723e-12,1.0,,,,,,,,
random_split,total_area,full,random_forest,10.536098265896014,21.49020892463075,0.9998938456838761,,,,,,,,
random_split,total_area,full,gradient_boosting,14.182292225156791,18.93426800507599,0.9999175950269669,,,,,,,,
random_split,total_area,no_leakage,linear_regression,72.24542607585275,99.86982305353501,0.9977074176618534,,,,,,,,
random_split,total_area,no_leakage,random_forest,25.402341040462414,45.50558315329431,0.9995240232383309,,,,,,,,
random_split,total_area,no_leakage,gradient_boosting,48.9455536523846,66.98376143883985,0.9989686752398739,,,,,,,,
random_split,control_steps,full,linear_regression,3.097480644467211,4.149908988385972,0.992983055603775,,,,,,,,
random_split,control_steps,full,random_forest,1.0991040462427746,3.0652562859026813,0.9961717131297897,,,,,,,,
random_split,control_steps,full,gradient_boosting,1.2755199484750812,1.7976959031569808,0.9986832499368178,,,,,,,,
random_split,control_steps,no_leakage,linear_regression,11.901461178542014,15.859016209634051,0.8975237141395603,,,,,,,,
random_split,control_steps,no_leakage,random_forest,1.943150289017341,3.8500209255493183,0.9939605544457074,,,,,,,,
random_split,control_steps,no_leakage,gradient_boosting,3.430912321783316,4.81331894087058,0.9905602570072948,,,,,,,,
kfold,total_area,full,linear_regression,,,,5.0,1.9656467996356156e-12,4.717337951326031e-13,2.8906196603396775e-12,7.695408571083906e-13,1.0,0.0,
kfold,total_area,full,random_forest,,,,5.0,9.464211150692293,1.514017402969868,18.68356573727381,4.197595076653666,0.9999238218289195,3.696062418877575e-05,
kfold,total_area,full,gradient_boosting,,,,5.0,15.875448847403188,1.3589250293599442,23.40038707005912,4.028713058655539,0.9998864419753346,3.2348075688662595e-05,
kfold,total_area,no_leakage,linear_regression,,,,5.0,64.83347758729568,6.462836896172621,87.59929647856397,11.252616004429507,0.9983940794937711,0.00047241441644624207,
kfold,total_area,no_leakage,random_forest,,,,5.0,19.96320826051889,3.9587862884569205,39.79002859812862,8.108800549353113,0.9996645035205631,0.00013665287859122133,
kfold,total_area,no_leakage,gradient_boosting,,,,5.0,43.91435169835539,5.32112085586946,60.244426256175664,7.272406069651046,0.9992379087541959,0.00021191887158488262,
kfold,control_steps,full,linear_regression,,,,5.0,2.95947352741963,0.1564805451582028,3.8926293642781182,0.2328301907235353,0.9933138494428222,0.0007033120340549906,
kfold,control_steps,full,random_forest,,,,5.0,0.9980344468342521,0.12580489678208515,2.5221019170127774,0.5319757762459877,0.9971056139182263,0.0011506765959700721,
kfold,control_steps,full,gradient_boosting,,,,5.0,1.2286111283075836,0.06628042463576178,1.799343089141598,0.09370842753825283,0.998563568538918,0.00022424177180039367,
kfold,control_steps,no_leakage,linear_regression,,,,5.0,10.794874422474455,0.770170536667994,14.834129990113194,1.0261808390347755,0.9024987912335657,0.015441397136198817,
kfold,control_steps,no_leakage,random_forest,,,,5.0,1.863051250168033,0.3882375478962684,4.203011361519501,0.9343352251256621,0.9917734992075449,0.004409218769472399,
kfold,control_steps,no_leakage,gradient_boosting,,,,5.0,3.421319574379276,0.2507345698389126,5.285564652318848,0.7852312947679977,0.987308367709167,0.004743339035191316,
leave_one_benchmark_out,total_area,full,linear_regression,,,,,3.123493233606159e-12,4.138982585579368e-12,3.3513639826914055e-12,4.1528714052011605e-12,0.9444444444444444,0.23570226039551584,18.0
leave_one_benchmark_out,total_area,full,random_forest,,,,,303.96615162037034,475.47372742872705,335.55948322561443,497.83413380773374,-3.3087862970918733,13.096114166564346,18.0
leave_one_benchmark_out,total_area,full,gradient_boosting,,,,,308.40780717482,503.9237214745843,339.7205746544345,525.0708380085522,-4.0343049836632225,15.362210579205826,18.0
leave_one_benchmark_out,total_area,no_leakage,linear_regression,,,,,1250.981017959112,1243.7446107967176,1255.329218204185,1242.9973135736632,-20.61987010856872,56.034456312909874,18.0
leave_one_benchmark_out,total_area,no_leakage,random_forest,,,,,768.3489004629629,1217.2710836151653,800.5560143291876,1212.7348165627825,-28.019284329057953,85.57577755065542,18.0
leave_one_benchmark_out,total_area,no_leakage,gradient_boosting,,,,,719.0741923004914,1110.194907333832,759.4049425932493,1107.3494219804538,-24.943063829581863,78.98107620688234,18.0
leave_one_benchmark_out,control_steps,full,linear_regression,,,,,7.877244909644146,6.66537976152443,8.671930311753316,6.910203914866354,-80.48893461847933,335.6664674958801,18.0
leave_one_benchmark_out,control_steps,full,random_forest,,,,,5.6718981481481485,5.874927552718242,7.633998873998006,7.646069521626778,-90.17835089714848,382.02887412344586,18.0
leave_one_benchmark_out,control_steps,full,gradient_boosting,,,,,4.270443825589748,3.9946643808256224,5.677320088953046,5.9472766625261855,-36.04751756097858,155.81697874267272,18.0
leave_one_benchmark_out,control_steps,no_leakage,linear_regression,,,,,62.25274906539643,63.91747072740172,65.36264654788319,63.26322068887801,-5311.110675775147,20861.550449676073,18.0
leave_one_benchmark_out,control_steps,no_leakage,random_forest,,,,,17.994027777777777,14.315276103915055,22.660452104100365,16.948866124021258,-131.78767184740943,522.0695463045535,18.0
leave_one_benchmark_out,control_steps,no_leakage,gradient_boosting,,,,,17.51789983791857,14.245433886276016,22.035154688608596,16.828844692968183,-67.34335397949555,246.59539780110742,18.0
